REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
7DHCHSTEROLtd,0.0,0.0,0.0,-29.69,29.69
ABT_Dt,0.0,0.0,0.0,-29.69,29.69
ABT_Dt2,0.0,0.0,-1.71,-31.4,27.98
ACGLUtd,0.0,0.0,0.0,-29.69,29.69
ACGLYtc,0.0,0.0,-14.96,-44.64,14.73
ACGLYte,0.0,0.0,-2.89,-32.58,26.79
ACLYSt,0.0,0.0,0.0,-29.69,29.69
ACLYStm,0.0,0.0,0.0,-29.69,29.69
ACORNt,0.0,0.0,-0.0,-29.69,29.68
ACTHRtc,0.0,0.0,-14.96,-44.64,14.73
ACTHRte,0.0,0.0,-2.89,-32.58,26.79
ADPACtd,0.0,0.0,0.0,-29.69,29.69
ADPOHt,0.0,0.0,-5.79,-35.48,23.9
ALLTNt,0.0,0.0,-0.05,-29.74,29.64
AMETt,0.0,0.0,0.0,-29.69,29.69
AND19ONEt,0.0,0.0,0.0,-29.69,29.69
BILIVERDt,0.0,0.0,3.02,-56.36,62.39
C02356t,0.0,0.0,-0.01,-29.7,29.68
C02712te,0.0,0.0,3.0,-56.37,62.38
C02712tm,0.0,0.0,14.96,-14.73,44.64
C03990ATP,11.33,4.76,-31.94,-142.21,24.88
C03990t,0.0,0.0,0.11,-59.27,59.49
C03990tr,0.0,0.0,0.0,-29.69,29.69
C03990tx,0.0,0.0,1.19,-28.5,30.88
C04483t1,11.33,4.76,-31.94,-142.21,24.88
C04483t2,0.0,0.0,-0.03,-59.41,59.34
C04717ATP,11.33,4.76,-29.05,-139.31,27.77
C04717td,0.0,0.0,0.0,-29.69,29.69
C04805ATP,11.33,4.76,-29.05,-139.31,27.77
C04805td,0.0,0.0,0.0,-29.69,29.69
C05463t1,11.33,4.76,-1913.02,-2023.29,-1856.2
C05463t2,0.0,0.0,-1881.11,-1940.49,-1821.74
C05953t,0.0,0.0,0.0,-59.38,59.38
C05953td,0.0,0.0,-2.89,-32.58,26.8
C05953tm,0.0,0.0,-14.96,-44.65,14.73
C05953tr,0.0,0.0,0.0,-29.69,29.69
C05957t,0.0,0.0,2.9,-56.48,62.27
C05957td,0.0,0.0,0.0,-29.69,29.69
C06314t,0.0,0.0,1.71,-27.98,31.4
C06315t,0.0,0.0,1.71,-27.98,31.4
C06439t,0.0,0.0,0.0,-59.38,59.38
C06439td,0.0,0.0,-2.89,-32.58,26.79
C06439tn,0.0,0.0,0.0,-29.69,29.69
C11695td,0.0,0.0,0.0,-29.69,29.69
C14768ATP,11.33,4.76,-29.05,-139.31,27.77
C14768td,0.0,0.0,0.0,-29.69,29.69
C14769td1,0.0,0.0,0.0,-29.69,29.69
C14769td2,11.33,4.76,-29.05,-139.31,27.77
C14770ATP,11.33,4.76,-29.05,-139.31,27.77
C14771ATP,11.33,4.76,-29.05,-139.31,27.77
C14825ATP,11.33,4.76,-29.05,-139.31,27.77
C14825td,0.0,0.0,0.0,-29.69,29.69
C14826ATP,11.33,4.76,-29.05,-139.31,27.77
C14826td,0.0,0.0,0.0,-29.69,29.69
CE0328t,11.33,4.76,-29.05,-139.31,27.77
CE0955te,0.0,0.0,2.89,-56.48,62.27
CE0955tr,0.0,0.0,0.0,-29.69,29.69
CE1243ATP,11.33,4.76,-29.05,-139.31,27.77
CE1273t1,11.33,4.76,-29.05,-139.31,27.77
CE1273t2,0.0,0.0,2.86,-56.52,62.24
CE1297t,11.33,4.76,-29.05,-139.31,27.77
CE1297td,0.0,0.0,0.0,-29.69,29.69
CE1554t,0.0,0.0,0.0,-29.69,29.69
CE1556td,0.0,0.0,0.0,-29.69,29.69
CE2028t,0.0,0.0,0.0,-29.69,29.69
CE2176t,0.0,0.0,0.01,-59.37,59.38
CE2445t,11.33,4.76,-29.05,-139.31,27.77
CE2510t,11.33,4.76,-29.05,-139.31,27.77
CE2513ATP,11.33,4.76,-31.94,-142.21,24.88
CE2513td,0.0,0.0,-2.89,-32.58,26.8
CE2516t,11.33,4.76,-29.05,-139.31,27.77
CE2537ATP,11.33,4.76,-29.05,-139.31,27.77
CE4843t,11.33,4.76,-31.95,-142.21,24.88
CE4843td,0.0,0.0,-2.89,-32.58,26.79
CE5304t,0.0,0.0,2.9,-56.48,62.27
CE6031t,0.0,0.0,0.0,-29.69,29.69
CE6247t,11.33,4.76,-29.05,-139.31,27.77
CE7082ATP,11.33,4.76,-29.05,-139.31,27.77
CE7083t,11.33,4.76,-29.05,-139.31,27.77
CE7172ATP,11.33,4.76,-29.05,-139.31,27.77
CORTSNt,0.0,0.0,-0.0,-29.69,29.69
CORTSNti,0.0,0.0,0.0,-29.69,29.69
DODECANACt,11.33,4.76,-29.05,-139.31,27.77
DODECANACtd,0.0,0.0,0.0,-29.69,29.69
ELAIDCRNtd,0.0,0.0,0.0,-29.69,29.69
FORGLUt,0.0,0.0,-0.0,-29.69,29.69
GALTt,0.0,0.0,-0.0,-29.69,29.69
GLYC_Rt,0.0,0.0,0.0,-29.69,29.69
GLYC2Pte,0.0,0.0,-2.38,-32.06,27.31
GLYCLTtd,0.0,0.0,0.0,-29.69,29.69
HC00319t1,0.0,0.0,2.91,-56.47,62.29
HC00319t2,0.0,0.0,2.88,-56.5,62.25
HC00900t1,0.0,0.0,6.83,-52.55,66.21
HC00900t2,0.0,0.0,5.82,-53.55,65.2
HC00900t3,0.0,0.0,6.25,-53.13,65.63
HC00900t4,0.0,0.0,5.67,-53.7,65.05
HC02149td,0.0,0.0,834.85,805.16,864.54
HEXDIACATP,11.33,4.76,-29.05,-139.31,27.77
HEXDIACtd,0.0,0.0,0.0,-29.69,29.69
HGENTISt,0.0,0.0,-0.02,-29.71,29.67
HMCARNt,0.0,0.0,4.26,-55.11,63.64
HMCRNt,0.0,0.0,0.0,-29.69,29.69
HPPPNte,0.0,0.0,1.19,-28.5,30.88
HXCOAte,0.0,0.0,11.85,-17.84,41.54
HXCOAtx,0.0,0.0,4.75,-24.94,34.44
IND3ACt,0.0,0.0,0.0,-29.69,29.69
LCYSTt,0.0,0.0,-3.0,-121.76,115.75
LEUKTRB4WCOOHt,11.33,4.76,-29.05,-139.31,27.77
LEUKTRB4WOHt,11.33,4.76,-29.05,-139.31,27.77
LEUKTRB4WOHtr,11.33,4.76,-29.05,-139.31,27.77
LNLCCRNtd,0.0,0.0,0.0,-29.69,29.69
LPIPECOLt,0.0,0.0,3.0,-56.38,62.38
LPIPECOLtx,0.0,0.0,1.02,-58.35,60.4
LTHSTRLABCt,11.33,4.76,-29.05,-139.31,27.77
LTHSTRLt,0.0,0.0,0.0,-29.69,29.69
MEV_Rt,0.0,0.0,0.0,-29.69,29.69
MI1Pt,0.0,0.0,-1.74,-31.42,27.95
NACASPt,0.0,0.0,9.02,-109.74,127.77
NWHARGtd,0.0,0.0,-0.02,-29.71,29.67
OAAt,0.0,0.0,1.71,-27.98,31.4
pac,0.0,0.0,0.0,-29.69,29.69
PCOLLG5HLYStd,0.0,0.0,-0.04,-29.72,29.65
PSERtr,0.0,0.0,-1.24,-30.93,28.44
SACCRP_Lte,0.0,0.0,14.76,-14.93,44.44
SACCRP_Ltm,0.0,0.0,-0.02,-29.71,29.67
SEBACIDtd,0.0,0.0,0.0,-29.68,29.69
SUBEACtd,0.0,0.0,0.0,-29.69,29.69
TETDECA511ACt,11.33,4.76,-31.95,-142.21,24.88
TETDECA511ACtd,0.0,0.0,-2.89,-32.58,26.79
THRNTt,11.33,4.76,-29.05,-139.31,27.77
TMLYStd,0.0,0.0,-0.01,-29.7,29.68
TTDCEAATP,11.33,4.76,-29.05,-139.31,27.77
TXB2t,11.33,4.76,-31.95,-142.21,24.88
URCANt,0.0,0.0,0.04,-29.64,29.73
WHARACHDt,11.33,4.76,-29.05,-139.31,27.77
WHARACHDtd,0.0,0.0,0.0,-29.69,29.69
WHARACHDtr,11.33,4.76,-29.05,-139.31,27.77
ACILEtm,0.0,0.0,-14.96,-44.64,14.73
ACILEte,0.0,0.0,-2.89,-32.58,26.79
ACLEUtm,0.0,0.0,-14.96,-44.64,14.73
ACLEUte,0.0,0.0,-2.89,-32.58,26.79
ACHOMtm,0.0,0.0,0.0,-29.69,29.69
ACHOMte,0.0,0.0,0.0,-29.69,29.69
PHACGLYt,0.0,0.0,-2.89,-32.58,26.79
ESTRIOLATP,11.33,4.76,-29.05,-139.32,27.77
DDCAFATP,11.33,4.76,-29.05,-139.31,27.77
TTDCEAt,0.0,0.0,0.0,-29.69,29.69
DCHOLESTANCOAc,-22.73,2.76,-15.47,-109.94,79.0
HC02195te,11.33,4.76,-29.05,-139.31,27.77
HC02196te,11.33,4.76,-29.05,-139.31,27.77
HC02194te,11.33,4.76,-29.05,-139.31,27.77
HC02220te,11.33,4.76,-29.05,-139.31,27.77
XOL27OHtmc,0.0,0.0,0.0,-29.69,29.69
ALPA_HStc,0.0,0.0,-2.96,-32.65,26.73
r0202m,68.63,4.88,18.18,-50.75,87.12
PHEACGLYsec,0.0,0.0,-2.89,-32.58,26.79
INDOLEup,0.0,0.0,0.0,-29.69,29.69
INDSt,0.0,0.0,-2.89,-62.27,56.48
PCRESOLup,0.0,0.0,0.0,-29.69,29.69
PCSsec,0.0,0.0,-2.89,-32.58,26.79
PCSup,0.0,0.0,2.89,-26.79,32.58
3HCINNMup,0.0,0.0,2.89,-26.79,32.58
3HCINNMsec,0.0,0.0,-2.89,-32.58,26.79
3HPPAup,0.0,0.0,2.89,-26.79,32.58
3HPPAsec,0.0,0.0,-2.89,-32.58,26.79
NORMETEt,0.0,0.0,0.02,-29.67,29.71
MEPIt,0.0,0.0,-2.88,-32.57,26.81
TREt,0.0,0.0,0.0,-29.69,29.69
C05300t,0.0,0.0,-0.0,-29.69,29.69
RETINALt,0.0,0.0,1230.3,1200.61,1259.99
MALTTTRt,0.0,0.0,0.0,-29.69,29.69
1MNCAMt,0.0,0.0,-2.89,-32.58,26.79
LEULEUt,0.0,0.0,-0.14,-29.83,29.55
GLYPROt,0.0,0.0,-0.25,-29.94,29.44
PROGLyt,0.0,0.0,-0.01,-29.69,29.68
DHBPTt,0.0,0.0,0.0,-29.69,29.69
THBPTt,0.0,0.0,-0.06,-29.75,29.63
ADPRIBte,0.0,0.0,-5.79,-35.48,23.9
ALAARGCYSt,0.0,0.0,-4.6,-34.29,25.09
ALAARGGLYt,0.0,0.0,-4.6,-34.29,25.09
ALAASNLEUt,0.0,0.0,-1.71,-31.4,27.98
ALAGLYLYSt,0.0,0.0,-7.5,-37.18,22.19
ALAHISALAt,0.0,0.0,-1.71,-31.4,27.98
ALALYSTHRt,0.0,0.0,-4.6,-34.29,25.09
ARGALAALAt,0.0,0.0,-4.6,-34.29,25.09
ARGALAPHEt,0.0,0.0,-4.6,-34.29,25.09
ARGALATHRt,0.0,0.0,-4.6,-34.29,25.09
ARGARGt,0.0,0.0,-7.5,-37.18,22.19
ARGARGLYSt,0.0,0.0,-10.39,-40.08,19.3
ARGARGMETt,0.0,0.0,-7.5,-37.18,22.19
ARGCYSGLYt,0.0,0.0,-4.6,-34.29,25.09
ARGCYSSERt,0.0,0.0,-4.6,-34.29,25.09
ARGGLUGLUt,0.0,0.0,1.19,-28.5,30.88
ARGGLUPROt,0.0,0.0,-1.71,-31.4,27.98
ARGGLYGLYt,0.0,0.0,-4.6,-34.29,25.09
ARGHISTHRt,0.0,0.0,-4.6,-34.29,25.09
ARGLEUPHEt,0.0,0.0,-4.6,-34.29,25.09
ARGLYSASPt,0.0,0.0,-4.6,-34.29,25.09
ARGPHEARGt,0.0,0.0,-7.5,-37.18,22.19
ARGPROMETt,0.0,0.0,-4.6,-34.29,25.09
ARGPROTHRt,0.0,0.0,-4.6,-34.29,25.09
ARGSERSERt,0.0,0.0,-4.6,-34.29,25.09
ARGTYRVALt,0.0,0.0,-4.6,-34.29,25.09
ARGVALCYSt,0.0,0.0,-4.6,-34.29,25.09
ARGVALTRPt,0.0,0.0,-4.6,-34.29,25.09
ASNASNARGt,0.0,0.0,-4.6,-34.29,25.09
ASNCYSCYSt,0.0,0.0,-1.71,-31.4,27.98
ASNMETPROt,0.0,0.0,-1.71,-31.4,27.98
ASNPHEASPt,0.0,0.0,1.19,-28.5,30.88
ASNPHECYSt,0.0,0.0,-1.71,-31.4,27.98
ASNTYRGLYt,0.0,0.0,-1.71,-31.4,27.98
ASNTYRPHEt,0.0,0.0,-1.71,-31.4,27.98
ASNTYRTHRt,0.0,0.0,-1.71,-31.4,27.98
ASPALAARGt,0.0,0.0,-1.71,-31.4,27.98
ASPASNGLUt,0.0,0.0,4.08,-25.61,33.77
ASPGLUt,0.0,0.0,4.08,-25.61,33.77
ASPGLUPROt,0.0,0.0,4.08,-25.61,33.77
ASPGLUTRPt,0.0,0.0,4.08,-25.61,33.77
ASPHISCYSt,0.0,0.0,1.19,-28.5,30.88
ASPHISPROt,0.0,0.0,1.19,-28.5,30.88
ASPLYSGLUt,0.0,0.0,1.19,-28.5,30.88
ASPLYSHISt,0.0,0.0,-1.71,-31.4,27.98
ASPMETASPt,0.0,0.0,4.08,-25.61,33.77
ASPPROLYSt,0.0,0.0,-1.71,-31.4,27.98
ASPVALASNt,0.0,0.0,1.19,-28.5,30.88
CYSASNMETt,0.0,0.0,-1.71,-31.4,27.98
CYSASPPHEt,0.0,0.0,1.19,-28.5,30.88
CYSCYSt,0.0,0.0,-1.71,-31.4,27.98
CYSGLNMETt,0.0,0.0,-1.71,-31.4,27.98
CYSGLUHISt,0.0,0.0,1.19,-28.5,30.88
CYSGLUTRPt,0.0,0.0,1.19,-28.5,30.88
CYSLEUTHRt,0.0,0.0,-1.71,-31.4,27.98
CYSSERMETt,0.0,0.0,-1.71,-31.4,27.98
CYSTYRASNt,0.0,0.0,-1.71,-31.4,27.98
GLNASNGLNt,0.0,0.0,-1.71,-31.4,27.98
GLNHISHISt,0.0,0.0,-1.71,-31.4,27.98
GLNHISLYSt,0.0,0.0,1.19,-28.5,30.88
GLNLYSLYSt,0.0,0.0,4.08,-25.61,33.77
GLNLYSTRPt,0.0,0.0,1.19,-28.5,30.88
GLNPROGLUt,0.0,0.0,1.19,-28.5,30.88
GLNTRPGLUt,0.0,0.0,1.19,-28.5,30.88
GLNTYRLEUt,0.0,0.0,-1.71,-31.4,27.98
GLUARGLEUt,0.0,0.0,-1.71,-31.4,27.98
GLUASNLEUt,0.0,0.0,1.19,-28.5,30.88
GLUGLUt,0.0,0.0,4.08,-25.61,33.77
GLUILELYSt,0.0,0.0,-1.71,-31.4,27.98
GLULEUt,0.0,0.0,1.19,-28.5,30.88
GLUMETt,0.0,0.0,1.19,-28.5,30.88
GLUMETHISt,0.0,0.0,1.19,-28.5,30.88
GLUTHRt,0.0,0.0,1.19,-28.5,30.88
GLUTHRLYSt,0.0,0.0,-1.71,-31.4,27.98
GLUTRPALAt,0.0,0.0,1.19,-28.5,30.88
GLYHISASNt,0.0,0.0,-1.71,-31.4,27.98
GLYHISLYSt,0.0,0.0,-4.6,-34.29,25.09
GLYLYSCYSt,0.0,0.0,-4.6,-34.29,25.09
GLYLYSPHEt,0.0,0.0,-4.6,-34.29,25.09
GLYTYRLYSt,0.0,0.0,-4.6,-34.29,25.09
GLYVALHISt,0.0,0.0,-1.71,-31.4,27.98
HISARGCYSt,0.0,0.0,-4.6,-34.29,25.09
HISARGSERt,0.0,0.0,-4.6,-34.29,25.09
HISASPt,0.0,0.0,1.19,-28.5,30.88
HISCYSCYSt,0.0,0.0,-1.71,-31.4,27.98
HISGLNALAt,0.0,0.0,-1.71,-31.4,27.98
HISGLUt,0.0,0.0,1.19,-28.5,30.88
HISGLUGLNt,0.0,0.0,1.19,-28.5,30.88
HISGLYLYSt,0.0,0.0,-7.5,-37.18,22.19
HISHISLYSt,0.0,0.0,-4.6,-34.29,25.09
HISLYSALAt,0.0,0.0,-4.6,-34.29,25.09
HISLYSGLUt,0.0,0.0,-1.71,-31.4,27.98
HISLYSILEt,0.0,0.0,-4.6,-34.29,25.09
HISLYSTHRt,0.0,0.0,-4.6,-34.29,25.09
HISLYSVALt,0.0,0.0,-4.6,-34.29,25.09
HISMETt,0.0,0.0,-1.71,-31.4,27.98
HISMETGLNt,0.0,0.0,-1.71,-31.4,27.98
HISPHEARGt,0.0,0.0,-4.6,-34.29,25.09
HISPROLYSt,0.0,0.0,-4.6,-34.29,25.09
HISTRPHISt,0.0,0.0,-1.71,-31.4,27.98
ILEARGILEt,0.0,0.0,-4.6,-34.29,25.09
ILEASNHISt,0.0,0.0,-1.71,-31.4,27.98
ILEASPt,0.0,0.0,1.19,-28.5,30.88
ILEGLNGLUt,0.0,0.0,1.19,-28.5,30.88
ILEGLYARGt,0.0,0.0,-4.6,-34.29,25.09
ILEPROLYSt,0.0,0.0,-4.6,-34.29,25.09
ILESERARGt,0.0,0.0,-4.6,-34.29,25.09
ILETRPTYRt,0.0,0.0,-1.71,-31.4,27.98
LEUALAARGt,0.0,0.0,-4.6,-34.29,25.09
LEUASNASPt,0.0,0.0,1.19,-28.5,30.88
LEUASPLYSt,0.0,0.0,-1.71,-31.4,27.98
LEULEUTRPt,0.0,0.0,-1.71,-31.4,27.98
LEUPROt,0.0,0.0,-1.71,-31.4,27.98
LEUPROARGt,0.0,0.0,-4.6,-34.29,25.09
LEUSERTRPt,0.0,0.0,-1.71,-31.4,27.98
LEUTRPt,0.0,0.0,-1.71,-31.4,27.98
LEUTRPARGt,0.0,0.0,-4.6,-34.29,25.09
LEUTYRTYRt,0.0,0.0,-1.71,-31.4,27.98
LEUVALt,0.0,0.0,-1.71,-31.4,27.98
LYSARGLEUt,0.0,0.0,-7.5,-37.18,22.19
LYSCYSHISt,0.0,0.0,-4.6,-34.29,25.09
LYSGLNPHEt,0.0,0.0,-4.6,-34.29,25.09
LYSGLUGLUt,0.0,0.0,1.19,-28.5,30.88
LYSLYSLYSt,0.0,0.0,-10.39,-40.08,19.3
LYSPHEILEt,0.0,0.0,-4.6,-34.29,25.09
LYSTRPARGt,0.0,0.0,-7.5,-37.18,22.19
LYSTYRILEt,0.0,0.0,-4.6,-34.29,25.09
LYSVALPHEt,0.0,0.0,-4.6,-34.29,25.09
LYSVALTRPt,0.0,0.0,-4.6,-34.29,25.09
METARGLEUt,0.0,0.0,-4.6,-34.29,25.09
METASNTYRt,0.0,0.0,-1.71,-31.4,27.98
METGLNTYRt,0.0,0.0,-1.71,-31.4,27.98
METGLYARGt,0.0,0.0,-4.6,-34.29,25.09
METHISLYSt,0.0,0.0,-4.6,-34.29,25.09
METMETILEt,0.0,0.0,-1.71,-31.4,27.98
METPHEARGt,0.0,0.0,-4.6,-34.29,25.09
METTRPPHEt,0.0,0.0,-1.71,-31.4,27.98
PHEASNMETt,0.0,0.0,-1.71,-31.4,27.98
PHEASPt,0.0,0.0,1.19,-28.5,30.88
PHEGLNPHEt,0.0,0.0,-1.71,-31.4,27.98
PHELEUt,0.0,0.0,-1.71,-31.4,27.98
PHELEUASPt,0.0,0.0,1.19,-28.5,30.88
PHELEUHISt,0.0,0.0,-1.71,-31.4,27.98
PHELYSALAt,0.0,0.0,-4.6,-34.29,25.09
PHELYSPROt,0.0,0.0,-4.6,-34.29,25.09
PHEPHEt,0.0,0.0,-1.71,-31.4,27.98
PHEPHEASNt,0.0,0.0,-1.71,-31.4,27.98
PHEPHETHRt,0.0,0.0,-1.71,-31.4,27.98
PHEPROARGt,0.0,0.0,-4.6,-34.29,25.09
PHESERTRPt,0.0,0.0,-1.71,-31.4,27.98
PHETHRLYSt,0.0,0.0,-4.6,-34.29,25.09
PHETRPLEUt,0.0,0.0,-1.71,-31.4,27.98
PHETYRt,0.0,0.0,-1.71,-31.4,27.98
PHETYRGLNt,0.0,0.0,-1.71,-31.4,27.98
PHETYRLYSt,0.0,0.0,-4.6,-34.29,25.09
PROARGASPt,0.0,0.0,-1.71,-31.4,27.98
PROARGCYSt,0.0,0.0,-4.6,-34.29,25.09
PROASNCYSt,0.0,0.0,-1.71,-31.4,27.98
PROCYSt,0.0,0.0,-1.71,-31.4,27.98
PROGLNPROt,0.0,0.0,-1.71,-31.4,27.98
PROGLULYSt,0.0,0.0,-1.71,-31.4,27.98
PROHISt,0.0,0.0,-1.71,-31.4,27.98
PROHISTYRt,0.0,0.0,-1.71,-31.4,27.98
PROLEUARGt,0.0,0.0,-4.6,-34.29,25.09
PROLYSPROt,0.0,0.0,-4.6,-34.29,25.09
PROPHEt,0.0,0.0,-1.71,-31.4,27.98
PROPROARGt,0.0,0.0,-4.6,-34.29,25.09
PROPROPROt,0.0,0.0,-1.71,-31.4,27.98
PROTRPLYSt,0.0,0.0,-4.6,-34.29,25.09
PROTRPTHRt,0.0,0.0,-1.71,-31.4,27.98
PROVALGLNt,0.0,0.0,-1.71,-31.4,27.98
SERARGALAt,0.0,0.0,-4.6,-34.29,25.09
SERARGTRPt,0.0,0.0,-4.6,-34.29,25.09
SERCYSARGt,0.0,0.0,-4.6,-34.29,25.09
SERGLYGLUt,0.0,0.0,1.19,-28.5,30.88
SERLYSHISt,0.0,0.0,-4.6,-34.29,25.09
SERPHELYSt,0.0,0.0,-4.6,-34.29,25.09
SERTRPHISt,0.0,0.0,-1.71,-31.4,27.98
THRARGTYRt,0.0,0.0,-4.6,-34.29,25.09
THRASNTYRt,0.0,0.0,-1.71,-31.4,27.98
THRGLNGLUt,0.0,0.0,1.19,-28.5,30.88
THRGLNTYRt,0.0,0.0,-1.71,-31.4,27.98
THRHISHISt,0.0,0.0,-1.71,-31.4,27.98
THRILEARGt,0.0,0.0,-4.6,-34.29,25.09
THRMETARGt,0.0,0.0,-4.6,-34.29,25.09
THRPHEARGt,0.0,0.0,-4.6,-34.29,25.09
THRSERARGt,0.0,0.0,-4.6,-34.29,25.09
THRTHRARGt,0.0,0.0,-4.6,-34.29,25.09
THRTYRMETt,0.0,0.0,-1.71,-31.4,27.98
TRPALAPROt,0.0,0.0,-1.71,-31.4,27.98
TRPARGALAt,0.0,0.0,-4.6,-34.29,25.09
TRPASPASPt,0.0,0.0,4.08,-25.61,33.77
TRPGLNGLNt,0.0,0.0,-1.71,-31.4,27.98
TRPGLUGLYt,0.0,0.0,1.19,-28.5,30.88
TRPGLULEUt,0.0,0.0,1.19,-28.5,30.88
TRPGLUPROt,0.0,0.0,1.19,-28.5,30.88
TRPGLUTYRt,0.0,0.0,1.19,-28.5,30.88
TRPGLYLEUt,0.0,0.0,-1.71,-31.4,27.98
TRPGLYPHEt,0.0,0.0,-1.71,-31.4,27.98
TRPGLYVALt,0.0,0.0,-1.71,-31.4,27.98
TRPHISMETt,0.0,0.0,-1.71,-31.4,27.98
TRPILELYSt,0.0,0.0,-4.6,-34.29,25.09
TRPILETRPt,0.0,0.0,-1.71,-31.4,27.98
TRPLEUVALt,0.0,0.0,-1.71,-31.4,27.98
TRPLYSt,0.0,0.0,-4.6,-34.29,25.09
TRPMETARGt,0.0,0.0,-4.6,-34.29,25.09
TRPMETVALt,0.0,0.0,-1.71,-31.4,27.98
TRPPHEt,0.0,0.0,-1.71,-31.4,27.98
TRPPROGLYt,0.0,0.0,-1.71,-31.4,27.98
TRPPROLEUt,0.0,0.0,-1.71,-31.4,27.98
TRPPROVALt,0.0,0.0,-1.71,-31.4,27.98
TRPSERTYRt,0.0,0.0,-1.71,-31.4,27.98
TRPTHRGLUt,0.0,0.0,1.19,-28.5,30.88
TRPTHRILEt,0.0,0.0,-1.71,-31.4,27.98
TRPTHRTYRt,0.0,0.0,-1.71,-31.4,27.98
TRPTYRGLNt,0.0,0.0,-1.71,-31.4,27.98
TRPTYRTYRt,0.0,0.0,-1.71,-31.4,27.98
TRPVALASPt,0.0,0.0,1.19,-28.5,30.88
TYRALAt,0.0,0.0,-1.71,-31.4,27.98
TYRALAPHEt,0.0,0.0,-1.71,-31.4,27.98
TYRARGGLUt,0.0,0.0,-1.71,-31.4,27.98
TYRARGSERt,0.0,0.0,-4.6,-34.29,25.09
TYRASPARGt,0.0,0.0,-1.71,-31.4,27.98
TYRCYSGLYt,0.0,0.0,-1.71,-31.4,27.98
TYRCYSTHRt,0.0,0.0,-1.71,-31.4,27.98
TYRGLUt,0.0,0.0,1.19,-28.5,30.88
TYRLEUARGt,0.0,0.0,-4.6,-34.29,25.09
TYRPHETYRt,0.0,0.0,-1.71,-31.4,27.98
TYRTHRt,0.0,0.0,-1.71,-31.4,27.98
TYRTRPPHEt,0.0,0.0,-1.71,-31.4,27.98
TYRTYRt,0.0,0.0,-1.71,-31.4,27.98
TYRVALMETt,0.0,0.0,-1.71,-31.4,27.98
VALARGGLYt,0.0,0.0,-4.6,-34.29,25.09
VALHISASNt,0.0,0.0,-1.71,-31.4,27.98
VALLEUPHEt,0.0,0.0,-1.71,-31.4,27.98
VALLYSTYRt,0.0,0.0,-4.6,-34.29,25.09
VALPHEARGt,0.0,0.0,-4.6,-34.29,25.09
VALPROTRPt,0.0,0.0,-1.71,-31.4,27.98
VALSERARGt,0.0,0.0,-4.6,-34.29,25.09
VALTRPPHEt,0.0,0.0,-1.71,-31.4,27.98
VALTRPVALt,0.0,0.0,-1.71,-31.4,27.98
VALVALt,0.0,0.0,-1.71,-31.4,27.98
TRPGLYASPt,0.0,0.0,1.19,-28.5,30.88
HOMOVALte,0.0,0.0,5.78,-53.6,65.16
GLYCLTtm,0.0,0.0,-14.96,-44.64,14.73
TYMc,-483.78,7.68,-435.11,-497.66,-319.12
DOPAc,-483.78,7.68,-435.12,-497.67,-319.13
PCHOL2PALM_HSte,0.0,0.0,0.0,-29.69,29.69
XOLEST183te,0.0,0.0,0.0,-29.69,29.69
XOLEST182_HSte,0.0,0.0,-0.0,-29.69,29.69
XOLEST181_HSte,0.0,0.0,-0.0,-29.69,29.69
XOLEST205_HSte,0.0,0.0,0.0,-29.69,29.69
XOLEST204_HSte,0.0,0.0,0.0,-29.69,29.69
XOLEST226_HSte,0.0,0.0,0.0,-29.69,29.69
PE224_HSte,0.0,0.0,0.0,-29.69,29.69
PCHOLN261_HSte,0.0,0.0,-0.0,-29.69,29.69
PCHOLN281_HSte,0.0,0.0,-0.0,-29.69,29.69
PCHOLN28_HSte,0.0,0.0,0.0,-29.69,29.69
3BCRNtr,0.0,0.0,0.0,-29.69,29.69
3DDCRNtr,0.0,0.0,0.0,-29.69,29.69
3DECCRNtr,0.0,0.0,-0.0,-29.69,29.69
3HDECECRNtr,0.0,0.0,0.0,-29.69,29.69
3HEXDCRNtr,0.0,0.0,-0.0,-29.69,29.69
3IVCRNtr,0.0,0.0,0.0,-29.69,29.69
3OCTDEC2CRNtr,0.0,0.0,0.0,-29.69,29.69
3OCTDECCRNtr,0.0,0.0,0.0,-29.69,29.69
3OCTDECE1CRNtr,0.0,0.0,0.0,-29.69,29.69
3TDCRNtr,0.0,0.0,0.0,-29.69,29.69
3TETD7ECOACRNtr,0.0,0.0,-0.0,-29.69,29.69
3THEXDDCOACRNtr,0.0,0.0,0.0,-29.69,29.69
3TTETDDCOACRNtr,0.0,0.0,0.0,-29.69,29.69
ACRNtr,0.0,0.0,-746.97,-776.66,-717.28
C101CRNtr,0.0,0.0,-0.0,-29.69,29.69
C10CRNtr,0.0,0.0,-0.0,-29.69,29.69
C10DCtr,0.0,0.0,2.89,-26.79,32.58
C12DCtr,0.0,0.0,2.89,-26.79,32.58
C16DCtr,0.0,0.0,2.89,-26.8,32.58
C3DCtr,0.0,0.0,2.89,-26.79,32.58
C4CRNtr,0.0,0.0,-0.0,-29.69,29.69
C4DCtr,0.0,0.0,2.89,-26.79,32.58
C51CRNtr,0.0,0.0,-0.0,-29.69,29.69
C5DCtr,0.0,0.0,-0.0,-29.69,29.69
C6CRNtr,0.0,0.0,-0.0,-29.69,29.69
